lost_report_id,found_report_id,lost_item_name,found_item_name,image_similarity,text_similarity,category_similarity,colour_similarity,brand_similarity,location_similarity,date_similarity,actual_match
25,27,Silver Hp laptop,silver Hp laptop,0.828288,0.742626,1,1,0.363636,0,0.9,0
25,26,Silver Hp laptop,silver Hp laptop,0.537255,0.744628,1,1,0.363636,0,0.7,1
25,24,Silver Hp laptop,blue dark  headphones,0.368015,0,0,0,0.153846,0,0.7,0
25,22,Silver Hp laptop,black blue stripe umbrella,0.402022,0,0,0,0,0,0.9,0
25,20,Silver Hp laptop,gold watch,0.36029,0,0,0,0.222222,0,1,0
25,18,Silver Hp laptop,dark wallet,0.508283,0.040449,0,0,0,0,1,0
25,17,Silver Hp laptop,silver 3 keys,0.288988,0.134255,0,1,0,0,1,0
25,16,Silver Hp laptop,gold naviforce watch,0.302911,0,0,0,0.222222,0,0.9,0
25,15,Silver Hp laptop,green nike bottle,0.3489,0,0,0,0,0,0.9,0
25,14,Silver Hp laptop,blue aqua bottle,0.246538,0,0,0,0.153846,0,0.9,0
25,13,Silver Hp laptop,4 bunch keys,0.343661,0,0,0.8,0,0,0.9,0
25,12,Silver Hp laptop,Iphone 12,0.504,0,0,0,0.266667,0,0.9,0
25,4,Silver Hp laptop,Nike backpack,0.367762,0,0,0,0,0,0.9,0
25,3,Silver Hp laptop,Iphone 12,0.365875,0,0,0,0.266667,0,0.9,0
25,2,Silver Hp laptop,Dark Backpack,0.28977,0.046586,0,0,0.133333,0,0.9,0
23,27,blue headphones,silver Hp laptop,0.307955,0.050583,0,0,0,1,0.9,0
23,26,blue headphones,silver Hp laptop,0.34774,0.046969,0,0,0,1,0.7,0
23,24,blue headphones,blue dark  headphones,0.681703,0.504411,1,0.8,1,1,0.7,1
23,22,blue headphones,black blue stripe umbrella,0.261351,0.107768,0,0,0,0.75,0.9,0
23,20,blue headphones,gold watch,0.376388,0,0,0,0.307692,0,1,0
23,18,blue headphones,dark wallet,0.276333,0.015574,0,0,0,0,1,0
23,17,blue headphones,silver 3 keys,0.3102,0.051691,0,0,0,0,1,0
23,16,blue headphones,gold naviforce watch,0.317101,0,0,0,0.307692,0,0.9,0
23,15,blue headphones,green nike bottle,0.405243,0,0,0,0.25,0,0.9,0
